Material Type,Material,Raw Need,With Waste,On Hand,To Purchase,Unit
Lumber,4/4 Cherry,10.84201388888889,14.094618055555557,17.680555555555557,0.0,BF
Lumber,4/4 Maple,20.59722222222222,26.77638888888889,32.576388888888886,0.0,BF
Lumber,6/4 Cherry,12.4921875,16.239843750000002,36.494791666666664,0.0,BF
Lumber,8/4 Cherry,3.3541666666666665,4.360416666666667,0.0,4.360416666666667,BF
Sheet Goods,1/2 Birch Plywood,8.256944444444445,9.908333333333333,0.0,9.908333333333333,SQFT
Sheet Goods,1/4 Birch Plywood,14.901909722222223,17.882291666666667,0.0,17.882291666666667,SQFT
Sheet Goods,3/4 Cherry Plywood,5.25,6.3,0.0,6.3,SQFT
